grating,vp,effect,noiseType
0.2,n6,-8.187406963911998,3.0
0.2,n6,4.3054489771040005,5.2
0.2,n6,3.8239414573096,9.0
0.2,n2,0.5423992896255996,baseline
0.2,n2,5.9472371577784005,0.58
0.2,n2,0.6997530056440006,1.0
0.2,n2,-2.4918054047128018,1.73
0.2,n2,-3.7499451086416022,3.0
0.2,n2,3.5047847423776006,5.2
0.2,n2,2.476120661079998,9.0
0.2,n5,3.713987561961602,baseline
0.2,n5,8.243410181072,0.58
0.2,n5,6.229360640747201,1.0
0.2,n5,-2.8151243205184002,1.73
0.2,n5,-2.6041591006992006,3.0
0.2,n5,6.3688902503072,5.2
0.2,n5,5.038652474451202,9.0
0.4,tb,2.941871307971198,baseline
0.4,tb,4.865837734014403,0.58
0.4,tb,4.919434196177598,1.0
0.4,tb,5.2714751981760015,1.73
0.4,tb,6.317218337724799,3.0
0.4,tb,3.5259963505536023,5.2
0.4,tb,6.9660706673184,9.0
0.4,e1,1.983868122719997,baseline
0.4,e1,8.984599680355199,0.58
0.4,e1,6.620004089476803,1.0
0.4,e1,2.134281912259202,1.73
0.4,e1,5.566992340113598,3.0
0.4,e1,4.241963279100801,5.2
0.4,e1,6.405571551596798,9.0
0.4,n4,6.822506122326395,baseline
0.4,n4,9.2642585407504,0.58
0.4,n4,8.356096470655999,1.0
0.4,n4,3.6298098481215986,1.73
0.4,n4,3.7018402933776002,3.0
0.4,n4,3.255406308351995,5.2
0.4,n4,5.6979863300095985,9.0
0.4,e2,2.630713145772809,baseline
0.4,e2,4.4169961677688,0.58
0.4,e2,2.2506217712088,1.0
0.4,e2,-0.10913579954640226,1.73
0.4,e2,-1.7159705787752,3.0
0.4,e2,-0.400567840111998,5.2
0.4,e2,4.7618189207423995,9.0
0.4,n3,3.8112152813856,baseline
0.4,n3,4.0144305537864,0.58
0.4,n3,2.9352399405207974,1.0
0.4,n3,2.317299998507999,1.73
0.4,n3,5.085966185432,3.0
0.4,n3,6.4493282403,5.2
0.4,n3,4.951515873409602,9.0
0.4,n1,1.5877278054087967,baseline
0.4,n1,2.1992871169368007,0.58
0.4,n1,-0.9237137822088002,1.0
0.4,n1,-3.827249862163202,1.73
0.4,n1,-3.176324678480799,3.0
0.4,n1,-5.526673366552801,5.2
0.4,n1,0.6456274599192013,9.0
0.4,mm,6.151914739317597,baseline
0.4,mm,11.0332087435152,0.58
0.4,mm,10.456503892753599,1.0
0.4,mm,6.986573945929601,1.73
0.4,mm,3.738554042960002,3.0
0.4,mm,7.1672613414864,5.2
0.4,mm,8.689103956447198,9.0
0.4,n7,1.0683696211935967,baseline
0.4,n7,1.255679765771201,0.58
0.4,n7,1.854402329005604,1.0
0.4,n7,0.7149601755472013,1.73
0.4,n7,-0.03325266104159894,3.0
0.4,n7,0.3523566844159987,5.2
0.4,n7,2.071437989526399,9.0
0.4,n6,3.391684184653606,baseline
0.4,n6,2.636984401392001,0.58
0.4,n6,1.3121163716583986,1.0
0.4,n6,-0.3725974337008012,1.73
0.4,n6,-0.6414997009167998,3.0
0.4,n6,0.5555718593040027,5.2
0.4,n6,2.923601245884,9.0
0.4,n2,1.3862897687935956,baseline
0.4,n2,3.4073808103367993,0.58
0.4,n2,-1.6957771355184004,1.0
0.4,n2,5.0442810731456,1.73
0.4,n2,2.714519136401603,3.0
0.4,n2,0.4423142375255999,5.2
0.4,n2,4.602457389508,9.0
0.4,n5,5.245430937296,baseline
0.4,n5,8.428033549390399,0.58
0.4,n5,7.255676095782401,1.0
0.4,n5,-2.2413029872816024,1.73
0.4,n5,-4.0069029067584,3.0
0.4,n5,-3.5823578071599997,5.2
0.4,n5,6.033801966807999,9.0
0.8,tb,7.728551566709591,baseline
0.8,tb,8.132926494792002,0.58
0.8,tb,7.417064275253603,1.0
0.8,tb,9.079548252605601,1.73
0.8,tb,5.4155490388736,3.0
0.8,tb,8.7841180742832,5.2
0.8,tb,11.093088887179201,9.0
0.8,e1,3.7930514920320064,baseline
0.8,e1,7.046489083708797,0.58
