noise,edge,contrasts,ncorrect,ntrials,vp
brown,0.048,0.00001,119,240,pooled
brown,0.048,0.001008,137,240,pooled
brown,0.048,0.002005,177,240,pooled
brown,0.048,0.003003,222,240,pooled
brown,0.048,0.004,233,240,pooled
brown,0.048,0.00001,19,40,0
brown,0.048,0.001008,27,40,0
brown,0.048,0.002005,34,40,0
brown,0.048,0.003003,40,40,0
brown,0.048,0.004,40,40,0
brown,0.048,0.00001,20,40,1
brown,0.048,0.001008,26,40,1
brown,0.048,0.002005,39,40,1
brown,0.048,0.003003,40,40,1
brown,0.048,0.004,40,40,1
brown,0.048,0.00001,21,40,2
brown,0.048,0.001008,22,40,2
brown,0.048,0.002005,32,40,2
brown,0.048,0.003003,39,40,2
brown,0.048,0.004,39,40,2
brown,0.048,0.00001,21,40,3
brown,0.048,0.001008,22,40,3
brown,0.048,0.002005,26,40,3
brown,0.048,0.003003,36,40,3
brown,0.048,0.004,37,40,3
brown,0.048,0.00001,19,40,4
brown,0.048,0.001008,23,40,4
brown,0.048,0.002005,23,40,4
brown,0.048,0.003003,35,40,4
brown,0.048,0.004,39,40,4
brown,0.048,0.00001,19,40,5
brown,0.048,0.001008,17,40,5
brown,0.048,0.002005,23,40,5
brown,0.048,0.003003,32,40,5
brown,0.048,0.004,38,40,5
brown,0.15,0.00001,114,240,pooled
brown,0.15,0.001508,158,240,pooled
brown,0.15,0.003005,225,240,pooled
brown,0.15,0.004502,238,240,pooled
brown,0.15,0.006,239,240,pooled
brown,0.15,0.00001,17,40,0
brown,0.15,0.001508,29,40,0
brown,0.15,0.003005,39,40,0
brown,0.15,0.004502,40,40,0
brown,0.15,0.006,40,40,0
brown,0.15,0.00001,18,40,1
brown,0.15,0.001508,30,40,1
brown,0.15,0.003005,40,40,1
brown,0.15,0.004502,40,40,1
brown,0.15,0.006,40,40,1
brown,0.15,0.00001,20,40,2
brown,0.15,0.001508,25,40,2
brown,0.15,0.003005,36,40,2
brown,0.15,0.004502,39,40,2
brown,0.15,0.006,39,40,2
brown,0.15,0.00001,16,40,3
brown,0.15,0.001508,24,40,3
brown,0.15,0.003005,36,40,3
brown,0.15,0.004502,40,40,3
brown,0.15,0.006,40,40,3
brown,0.15,0.00001,17,40,4
brown,0.15,0.001508,24,40,4
brown,0.15,0.003005,39,40,4
brown,0.15,0.004502,40,40,4
brown,0.15,0.006,40,40,4
brown,0.15,0.00001,26,40,5
brown,0.15,0.001508,26,40,5
brown,0.15,0.003005,35,40,5
brown,0.15,0.004502,39,40,5
brown,0.15,0.006,40,40,5
brown,0.95,0.00001,124,240,pooled
brown,0.95,0.002508,149,240,pooled
brown,0.95,0.005005,197,240,pooled
brown,0.95,0.007503,228,240,pooled
brown,0.95,0.01,237,240,pooled
brown,0.95,0.00001,21,40,0
brown,0.95,0.002508,29,40,0
brown,0.95,0.005005,31,40,0
brown,0.95,0.007503,40,40,0
brown,0.95,0.01,38,40,0
brown,0.95,0.00001,23,40,1
brown,0.95,0.002508,28,40,1
brown,0.95,0.005005,36,40,1
brown,0.95,0.007503,40,40,1
brown,0.95,0.01,40,40,1
brown,0.95,0.00001,22,40,2
brown,0.95,0.002508,23,40,2
brown,0.95,0.005005,32,40,2
brown,0.95,0.007503,38,40,2
brown,0.95,0.01,40,40,2
brown,0.95,0.00001,23,40,3
brown,0.95,0.002508,21,40,3
brown,0.95,0.005005,36,40,3
brown,0.95,0.007503,34,40,3
brown,0.95,0.01,40,40,3
brown,0.95,0.00001,16,40,4
brown,0.95,0.002508,22,40,4
brown,0.95,0.005005,33,40,4
brown,0.95,0.007503,38,40,4
brown,0.95,0.01,40,40,4
brown,0.95,0.00001,19,40,5
brown,0.95,0.002508,26,40,5
brown,0.95,0.005005,29,40,5
brown,0.95,0.007503,38,40,5
brown,0.95,0.01,39,40,5
NB05,0.048,0.00001,122,240,pooled
NB05,0.048,0.001258,159,240,pooled
NB05,0.048,0.002505,215,240,pooled
NB05,0.048,0.003753,235,240,pooled
NB05,0.048,0.005,238,240,pooled
NB05,0.048,0.00001,20,40,0
NB05,0.048,0.001258,29,40,0
NB05,0.048,0.002505,37,40,0
NB05,0.048,0.003753,40,40,0
NB05,0.048,0.005,40,40,0
NB05,0.048,0.00001,25,40,1
NB05,0.048,0.001258,35,40,1
NB05,0.048,0.002505,40,40,1
NB05,0.048,0.003753,40,40,1
NB05,0.048,0.005,40,40,1
NB05,0.048,0.00001,14,40,2
NB05,0.048,0.001258,22,40,2
NB05,0.048,0.002505,37,40,2
NB05,0.048,0.003753,39,40,2
NB05,0.048,0.005,38,40,2
NB05,0.048,0.00001,19,40,3
NB05,0.048,0.001258,27,40,3
NB05,0.048,0.002505,34,40,3
NB05,0.048,0.003753,40,40,3
NB05,0.048,0.005,40,40,3
NB05,0.048,0.00001,25,40,4
NB05,0.048,0.001258,19,40,4
NB05,0.048,0.002505,34,40,4
NB05,0.048,0.003753,38,40,4
NB05,0.048,0.005,40,40,4
NB05,0.048,0.00001,19,40,5
NB05,0.048,0.001258,27,40,5
NB05,0.048,0.002505,33,40,5
NB05,0.048,0.003753,38,40,5
NB05,0.048,0.005,40,40,5
NB05,0.15,0.00001,115,240,pooled
NB05,0.15,0.000758,146,240,pooled
NB05,0.15,0.001505,193,240,pooled
NB05,0.15,0.002253,231,240,pooled
NB05,0.15,0.003,238,240,pooled
NB05,0.15,0.00001,23,40,0
NB05,0.15,0.000758,27,40,0
NB05,0.15,0.001505,38,40,0
NB05,0.15,0.002253,40,40,0
NB05,0.15,0.003,40,40,0
NB05,0.15,0.00001,16,40,1
NB05,0.15,0.000758,23,40,1
NB05,0.15,0.001505,37,40,1
NB05,0.15,0.002253,40,40,1
NB05,0.15,0.003,40,40,1
NB05,0.15,0.00001,23,40,2
NB05,0.15,0.000758,26,40,2
NB05,0.15,0.001505,29,40,2
NB05,0.15,0.002253,37,40,2
NB05,0.15,0.003,40,40,2
NB05,0.15,0.00001,16,40,3
NB05,0.15,0.000758,26,40,3
NB05,0.15,0.001505,32,40,3
NB05,0.15,0.002253,39,40,3
NB05,0.15,0.003,39,40,3
NB05,0.15,0.00001,16,40,4
NB05,0.15,0.000758,26,40,4
NB05,0.15,0.001505,30,40,4
NB05,0.15,0.002253,36,40,4
NB05,0.15,0.003,40,40,4
NB05,0.15,0.00001,21,40,5
NB05,0.15,0.000758,18,40,5
NB05,0.15,0.001505,27,40,5
NB05,0.15,0.002253,39,40,5
NB05,0.15,0.003,39,40,5
NB05,0.95,0.00001,121,240,pooled
NB05,0.95,0.001883,148,240,pooled
NB05,0.95,0.003755,196,240,pooled
NB05,0.95,0.005627,230,240,pooled
NB05,0.95,0.0075,238,240,pooled
NB05,0.95,0.00001,22,40,0
NB05,0.95,0.001883,26,40,0
NB05,0.95,0.003755,36,40,0
NB05,0.95,0.005627,40,40,0
NB05,0.95,0.0075,40,40,0
